minute,device_id,temperature_c,humidity_pct,pressure_bar,vibration_mm_s
2026-08-31T17:28:00,machine-01,41.594,44.027,5.686,4.37
2026-08-31T17:29:00,machine-01,42.528,42.801,5.778,4.7
2026-08-31T17:30:00,machine-01,42.884,42.554,5.669,2.974
2026-08-31T17:31:00,machine-01,42.566,43.202,5.374,3.549
2026-08-31T17:32:00,machine-01,43.222,42.038,5.375,5.162
2026-08-31T17:33:00,machine-01,43.588,41.754,5.718,5.245
2026-08-31T17:34:00,machine-01,43.332,41.983,5.812,5.529
2026-08-31T17:35:00,machine-01,43.858,41.229,5.992,5.602
2026-08-31T17:36:00,machine-01,43.384,41.995,5.974,4.214
2026-08-31T17:37:00,machine-01,42.488,42.923,5.959,5.068
2026-08-31T17:38:00,machine-01,42.57,42.876,6.294,4.968
2026-08-31T17:39:00,machine-01,41.762,43.839,6.185,3.426
2026-08-31T17:40:00,machine-01,39.702,46.484,5.897,2.157
2026-08-31T17:41:00,machine-01,38.057,48.243,5.861,3.683
2026-08-31T17:42:00,machine-01,37.56,48.794,5.751,5.675
2026-08-31T17:43:00,machine-01,38.242,48.09,5.854,6.244
2026-08-31T17:44:00,machine-01,38.554,47.671,6.116,6.11
2026-08-31T17:45:00,machine-01,38.891,47.169,6.252,5.52
2026-08-31T17:46:00,machine-01,39.263,46.884,6.31,5.553
2026-08-31T17:47:00,machine-01,39.012,47.037,5.966,4.937
2026-08-31T17:48:00,machine-01,39.401,46.757,5.875,5.077
2026-08-31T17:49:00,machine-01,39.672,46.408,5.739,5.285
2026-08-31T17:50:00,machine-01,40.207,45.786,5.854,4.376
2026-08-31T17:51:00,machine-01,41.073,44.762,5.711,5.302
2026-08-31T17:52:00,machine-01,42.292,43.124,5.82,6.135
2026-08-31T17:53:00,machine-01,43.332,41.973,6.002,3.48
2026-08-31T17:54:00,machine-01,42.018,43.586,5.58,1.375
2026-08-31T17:55:00,machine-01,40.072,45.946,5.152,1.49
2026-08-31T17:56:00,machine-01,39.646,46.533,4.983,2.011
2026-08-31T17:57:00,machine-01,39.789,46.284,5.282,2.604
2026-08-31T17:58:00,machine-01,40.314,45.576,5.563,3.29
2026-08-31T17:59:00,machine-01,40.805,45.042,5.569,3.177
2026-08-31T18:00:00,machine-01,41.513,44.105,5.65,4.448
2026-08-31T18:01:00,machine-01,41.984,43.627,5.568,4.165
2026-08-31T18:02:00,machine-01,42.307,43.273,5.53,5.1
2026-08-31T18:03:00,machine-01,41.205,44.651,5.714,2.534
2026-08-31T18:04:00,machine-01,39.402,46.713,5.442,2.035
2026-08-31T18:05:00,machine-01,38.199,48.008,5.285,2.973
2026-08-31T18:06:00,machine-01,38.335,47.965,5.759,3.913
2026-08-31T18:07:00,machine-01,38.088,48.456,5.559,3.291
2026-08-31T18:08:00,machine-01,37.229,49.548,5.5,4.788
2026-08-31T18:09:00,machine-01,37.047,49.462,5.863,5.753
2026-08-31T18:10:00,machine-01,37.294,49.096,6.005,6.291
2026-08-31T18:11:00,machine-01,37.853,48.664,6.149,4.977
2026-08-31T18:12:00,machine-01,37.025,49.56,5.886,3.334
2026-08-31T18:13:00,machine-01,36.42,50.506,5.654,3.738
2026-08-31T18:14:00,machine-01,35.112,51.803,5.425,1.937
2026-08-31T18:15:00,machine-01,33.494,53.881,5.52,2.399
2026-08-31T18:16:00,machine-01,32.509,54.782,5.443,2.78
2026-08-31T18:17:00,machine-01,32.175,55.246,5.461,2.837
